latitude,longitude,detected_at,confidence,frp,satellite
19.04805,-90.91425,2026-05-08T08:22:00Z,n,0.84,N20
19.01908,-90.60088,2026-05-08T08:22:00Z,n,2.46,N20
19.04934,-90.91478,2026-05-08T08:22:00Z,n,1.61,N20
19.01988,-90.60454,2026-05-08T08:22:00Z,n,3.13,N20
19.05091,-90.9157,2026-05-08T08:03:00Z,n,1.78,N
19.0202,-90.60274,2026-05-08T08:03:00Z,n,4.02,N
19.09306,-90.68861,2026-05-08T08:03:00Z,n,1.47,N
18.82158,-90.62231,2026-05-08T08:03:00Z,n,1.06,N
18.82528,-90.62154,2026-05-08T08:03:00Z,n,1.26,N
19.13219,-90.62151,2026-05-08T08:03:00Z,n,0.74,N
19.09757,-90.69249,2026-05-08T08:03:00Z,n,1.51,N
19.0165,-90.60349,2026-05-08T08:03:00Z,n,4.02,N
19.15136,-90.57932,2026-05-08T08:03:00Z,n,1.2,N
19.10822,-90.62344,2026-05-08T08:03:00Z,n,0.81,N
19.004058837890625,-90.79239654541016,2026-05-08T03:20:21Z,processed,20.53965187072754,GOES-19
18.96425437927246,-90.78780364990234,2026-05-08T02:10:21Z,processed,31.18129539489746,GOES-19
19.120807647705078,-90.62214660644531,2026-05-08T02:10:21Z,processed,23.856847763061523,GOES-19
19.08697,-90.70229,2026-05-08T02:02:00Z,91,94.25,Terra (MODIS)
19.08592,-90.69536,2026-05-08T02:02:00Z,88,79.57,Terra (MODIS)
19.1391,-90.62454,2026-05-08T02:02:00Z,75,50.38,Terra (MODIS)
19.13746,-90.6177,2026-05-08T02:02:00Z,74,45.41,Terra (MODIS)
19.097871780395508,-90.7009506225586,2026-05-08T02:00:22Z,processed,103.62478637695312,GOES-18
18.96425437927246,-90.78780364990234,2026-05-08T02:00:21Z,processed,39.08116149902344,GOES-19
19.082265853881836,-90.69940948486328,2026-05-08T02:00:21Z,processed,82.42623138427734,GOES-19
18.96425437927246,-90.78780364990234,2026-05-08T01:50:21Z,processed,47.214576721191406,GOES-19
19.140764236450195,-90.62445068359375,2026-05-08T01:50:21Z,processed,44.68259811401367,GOES-19
19.140764236450195,-90.62445068359375,2026-05-08T01:40:21Z,processed,46.58614730834961,GOES-19
18.96425437927246,-90.78780364990234,2026-05-08T01:40:21Z,processed,49.148860931396484,GOES-19
18.970191955566406,-90.7935791015625,2026-05-08T01:30:22Z,medium_probability,38.68320846557617,GOES-18
18.96425437927246,-90.78780364990234,2026-05-08T01:30:21Z,processed,50.352359771728516,GOES-19
19.140764236450195,-90.62445068359375,2026-05-08T01:30:21Z,processed,28.674388885498047,GOES-19
18.970191955566406,-90.7935791015625,2026-05-08T01:20:22Z,high_probability,46.928993225097656,GOES-18
18.96425437927246,-90.78780364990234,2026-05-08T01:20:21Z,processed,58.169063568115234,GOES-19
18.96425437927246,-90.78780364990234,2026-05-08T01:10:21Z,processed,86.94888305664062,GOES-19
18.970191955566406,-90.7935791015625,2026-05-08T01:00:22Z,high_probability,69.20269012451172,GOES-18
18.970191955566406,-90.7935791015625,2026-05-08T00:50:22Z,high_probability,92.48004913330078,GOES-18
18.96425437927246,-90.78780364990234,2026-05-08T00:50:21Z,processed,192.53221130371094,GOES-19
18.963958740234375,-90.76737213134766,2026-05-08T00:50:21Z,processed,83.40288543701172,GOES-19
18.970191955566406,-90.7935791015625,2026-05-08T00:40:22Z,high_probability,127.06719970703125,GOES-18
18.96425437927246,-90.78780364990234,2026-05-08T00:40:21Z,processed,178.6389923095703,GOES-19
18.970191955566406,-90.7935791015625,2026-05-08T00:30:22Z,processed,103.97535705566406,GOES-18
